pre,after
PRE_NearlytightVCdimensionboundsforpiecewiselinearneuralnetworks,NearlytightVCdimensionboundsforpiecewiselinearneuralnetworks
PRE_SubmodularOptimizationunderNoise,SubmodularOptimizationunderNoise
PRE_Surprisingpropertiesofdropoutindeepnetworks,Surprisingpropertiesofdropoutindeepnetworks
PRE_QuadraticUpperBoundforRecursiveTeachingDimensionofFiniteVCClasses,QuadraticUpperBoundforRecursiveTeachingDimensionofFiniteVCClasses
PRE_AUnifiedAnalysisofStochasticOptimizationMethodsUsingJumpSystemTheoryandQuadraticConstraints,AUnifiedAnalysisofStochasticOptimizationMethodsUsingJumpSystemTheoryandQuadraticConstraints
PRE_TheHiddenHubsProblem,TheHiddenHubsProblem
PRE_PredictingwithDistributions,PredictingwithDistributions
PRE_OntheAbilityofNeuralNetstoExpressDistributions,OntheAbilityofNeuralNetstoExpressDistributions
PRE_Fundamentallimitsofsymmetriclowrankmatrixestimation,Fundamentallimitsofsymmetriclowrankmatrixestimation
PRE_RobustandProperLearningforMixturesofGaussiansviaSystemsofPolynomialInequalities,RobustandProperLearningforMixturesofGaussiansviaSystemsofPolynomialInequalities
PRE_InapproximabilityofVCDimensionandLittlestone’sDimension,InapproximabilityofVCDimensionandLittlestone’sDimension
PRE_ASecondorderLookatStabilityandGeneralization,ASecondorderLookatStabilityandGeneralization
PRE_SolvingSDPsforsynchronizationandMaxCutproblemsviatheGrothendieckinequality,SolvingSDPsforsynchronizationandMaxCutproblemsviatheGrothendieckinequality
PRE_MixingImpliesLowerBoundsforSpaceBoundedLearning,MixingImpliesLowerBoundsforSpaceBoundedLearning
PRE_FastratesforonlinelearninginLinearlySolvableMarkovDecisionProcesses,FastratesforonlinelearninginLinearlySolvableMarkovDecisionProcesses
PRE_Exacttensorcompletionwithsumofsquares,Exacttensorcompletionwithsumofsquares
PRE_OnEquivalenceofMartingaleTailBoundsandDeterministicRegretInequalities,OnEquivalenceofMartingaleTailBoundsandDeterministicRegretInequalities
PRE_LowerBoundsonRegretforNoisyGaussianProcessBanditOptimization,LowerBoundsonRegretforNoisyGaussianProcessBanditOptimization
PRE_Fastandrobusttensordecompositionwithapplicationstodictionarylearning,Fastandrobusttensordecompositionwithapplicationstodictionarylearning
PRE_EmpiricalRiskMinimizationforStochasticConvexOptimizationO(1n)andO(1n^2)typeofRiskBounds,EmpiricalRiskMinimizationforStochasticConvexOptimizationO(1n)andO(1n^2)typeofRiskBounds
PRE_Optimallearningvialocalentropiesandsamplecompression,Optimallearningvialocalentropiesandsamplecompression
PRE_AlgorithmicRegularizationinOverparameterizedMatrixSensingandNeuralNetworkswithQuadraticActivations,AlgorithmicRegularizationinOverparameterizedMatrixSensingandNeuralNetworkswithQuadraticActivations
PRE_ReducibilityandComputationalLowerBoundsforProblemswithPlantedSparseStructure,ReducibilityandComputationalLowerBoundsforProblemswithPlantedSparseStructure
PRE_ActivelyAvoidingNonsenseinGenerativeModels,ActivelyAvoidingNonsenseinGenerativeModels
PRE_AFasterApproximationAlgorithmfortheGibbsPartitionFunction,AFasterApproximationAlgorithmfortheGibbsPartitionFunction
PRE_ExponentialConvergenceofTestingErrorforStochasticGradientMethods,ExponentialConvergenceofTestingErrorforStochasticGradientMethods
PRE_SizeIndependentSampleComplexityofNeuralNetworks,SizeIndependentSampleComplexityofNeuralNetworks
PRE_OnlineVarianceReductionforStochasticOptimization,OnlineVarianceReductionforStochasticOptimization
PRE_Detectionlimitsinthehighdimensionalspikedrectangularmodel,Detectionlimitsinthehighdimensionalspikedrectangularmodel
PRE_LearningWithoutMixingTowardsASharpAnalysisofLinearSystemIdentification,LearningWithoutMixingTowardsASharpAnalysisofLinearSystemIdentification
PRE_ActiveTolerantTesting,ActiveTolerantTesting
PRE_AcceleratingStochasticGradientDescentforLeastSquaresRegression,AcceleratingStochasticGradientDescentforLeastSquaresRegression
PRE_GeneralizationBoundsofSGLDforNonconvexLearningTwoTheoreticalViewpoints,GeneralizationBoundsofSGLDforNonconvexLearningTwoTheoreticalViewpoints
PRE_AveragingStochasticGradientDescentonRiemannianManifolds,AveragingStochasticGradientDescentonRiemannianManifolds
PRE_FittingaPutativeManifoldtoNoisyData,FittingaPutativeManifoldtoNoisyData
PRE_PrivateSequentialLearning,PrivateSequentialLearning
PRE_OptimalErrorsandPhaseTransitionsinHighDimensionalGeneralizedLinearModels,OptimalErrorsandPhaseTransitionsinHighDimensionalGeneralizedLinearModels
PRE_ExactandRobustConformalInferenceMethodsforPredictiveMachineLearningwithDependentData,ExactandRobustConformalInferenceMethodsforPredictiveMachineLearningwithDependentData
PRE_NonstochasticBanditswithCompositeAnonymousFeedback,NonstochasticBanditswithCompositeAnonymousFeedback
PRE_LowerBoundsforHigherOrderConvexOptimization,LowerBoundsforHigherOrderConvexOptimization
PRE_LogconcavesamplingMetropolisHastingsalgorithmsarefast!,LogconcavesamplingMetropolisHastingsalgorithmsarefast!
PRE_IncentivizingExplorationbyHeterogeneousUsers,IncentivizingExplorationbyHeterogeneousUsers
PRE_HardnessofLearningNoisyHalfspacesusingPolynomialThresholds,HardnessofLearningNoisyHalfspacesusingPolynomialThresholds
PRE_BestofbothworldsStochastic&adversarialbestarmidentification,BestofbothworldsStochastic&adversarialbestarmidentification
PRE_LearningPatternsforDetectionwithMultiscaleScanStatistics,LearningPatternsforDetectionwithMultiscaleScanStatistics
PRE_GlobalGuaranteesforEnforcingDeepGenerativePriorsbyEmpiricalRisk,GlobalGuaranteesforEnforcingDeepGenerativePriorsbyEmpiricalRisk
PRE_Smalllossboundsforonlinelearningwithpartialinformation,Smalllossboundsforonlinelearningwithpartialinformation
PRE_Empiricalboundsforfunctionswithweakinteractions,Empiricalboundsforfunctionswithweakinteractions
PRE_ConvexOptimizationwithUnboundedNonconvexOraclesusingSimulatedAnnealing,ConvexOptimizationwithUnboundedNonconvexOraclesusingSimulatedAnnealing
PRE_MoreAdaptiveAlgorithmsforAdversarialBandits,MoreAdaptiveAlgorithmsforAdversarialBandits
PRE_EfficientConvexOptimizationwithMembershipOracles,EfficientConvexOptimizationwithMembershipOracles
PRE_AGeneralApproachtoMultiArmedBanditsUnderRiskCriteria,AGeneralApproachtoMultiArmedBanditsUnderRiskCriteria
PRE_AnOptimalLearningAlgorithmforOnlineUnconstrainedSubmodularMaximization,AnOptimalLearningAlgorithmforOnlineUnconstrainedSubmodularMaximization
PRE_NonConvexMatrixCompletionAgainstaSemiRandomAdversary,NonConvexMatrixCompletionAgainstaSemiRandomAdversary
PRE_EfficientAlgorithmsforOutlierRobustRegression,EfficientAlgorithmsforOutlierRobustRegression
PRE_ActionConstrainedMarkovDecisionProcessesWithKullbackLeiblerCost,ActionConstrainedMarkovDecisionProcessesWithKullbackLeiblerCost
PRE_FundamentalLimitsofWeakRecoverywithApplicationstoPhaseRetrieval,FundamentalLimitsofWeakRecoverywithApplicationstoPhaseRetrieval
PRE_Cuttingplanemethodscanbeextendedintononconvexoptimization,Cuttingplanemethodscanbeextendedintononconvexoptimization
PRE_AnAnalysisofthetSNEAlgorithmforDataVisualization,AnAnalysisofthetSNEAlgorithmforDataVisualization
PRE_AdaptivitytoSmoothnessinXarmedbandits,AdaptivitytoSmoothnessinXarmedbandits
PRE_ADataPrismSemiverifiedlearninginthesmallalpharegime,ADataPrismSemiverifiedlearninginthesmallalpharegime
PRE_ADirectSumResultfortheInformationComplexityofLearning,ADirectSumResultfortheInformationComplexityofLearning
PRE_FasterRatesforConvexConcaveGames,FasterRatesforConvexConcaveGames
PRE_ell_1RegressionusingLewisWeightsPreconditioningandStochasticGradientDescent,ell_1RegressionusingLewisWeightsPreconditioningandStochasticGradientDescent
PRE_AFiniteTimeAnalysisofTemporalDifferenceLearningWithLinearFunctionApproximation,AFiniteTimeAnalysisofTemporalDifferenceLearningWithLinearFunctionApproximation
PRE_AnEstimateSequenceforGeodesicallyConvexOptimization,AnEstimateSequenceforGeodesicallyConvexOptimization
PRE_LangevinMonteCarloandJKOsplitting,LangevinMonteCarloandJKOsplitting
PRE_Subpolynomialtracereconstructionforrandomstrings{andarbitrarydeletionprobability,Subpolynomialtracereconstructionforrandomstrings{andarbitrarydeletionprobability
PRE_Anexplicitanalysisoftheentropicpenaltyinlinearprogramming,Anexplicitanalysisoftheentropicpenaltyinlinearprogramming
PRE_MarginalSingularityandtheBenefitsofLabelsinCovariateShift,MarginalSingularityandtheBenefitsofLabelsinCovariateShift
PRE_LearningSingleIndexModelsinGaussianSpace,LearningSingleIndexModelsinGaussianSpace
PRE_HiddenIntegralityofSDPRelaxationsforSubGaussianMixtureModels,HiddenIntegralityofSDPRelaxationsforSubGaussianMixtureModels
PRE_CountingMotifswithGraphSampling,CountingMotifswithGraphSampling
PRE_ApproximateNearestNeighborsinLimitedSpace,ApproximateNearestNeighborsinLimitedSpace
PRE_Breakingthe1sqrt{n}BarrierFasterRatesforPermutationbasedModelsinPolynomialTime,Breakingthe1sqrt{n}BarrierFasterRatesforPermutationbasedModelsinPolynomialTime
PRE_UnleashingLinearOptimizersforGroupFairLearningandOptimization,UnleashingLinearOptimizersforGroupFairLearningandOptimization
PRE_MinimaxBoundsonStochasticBatchedConvexOptimization,MinimaxBoundsonStochasticBatchedConvexOptimization
PRE_GeometricLowerBoundsforDistributedParameterEstimationunderCommunicationConstraints,GeometricLowerBoundsforDistributedParameterEstimationunderCommunicationConstraints
PRE_LocalmomentmatchingAunifiedmethodologyforsymmetricfunctionalestimationanddistributionestimationunderWassersteindistance,LocalmomentmatchingAunifiedmethodologyforsymmetricfunctionalestimationanddistributionestimationunderWassersteindistance
PRE_IterateAveragingasRegularizationforStochasticGradientDescent,IterateAveragingasRegularizationforStochasticGradientDescent
PRE_CertifiedComputationfromUnreliableDatasets,CertifiedComputationfromUnreliableDatasets
PRE_OpenProblemTheDependenceofSampleComplexityLowerBoundsonPlanningHorizon,OpenProblemTheDependenceofSampleComplexityLowerBoundsonPlanningHorizon
PRE_InferenceunderInformationConstraintsLowerBoundsfromChiSquareContraction,InferenceunderInformationConstraintsLowerBoundsfromChiSquareContraction
PRE_LearninginNonconvexGameswithanOptimizationOracle,LearninginNonconvexGameswithanOptimizationOracle
PRE_TowardsTestingMonotonicityofDistributionsOverGeneralPosets,TowardsTestingMonotonicityofDistributionsOverGeneralPosets
PRE_NormalApproximationforStochasticGradientDescentviaNonAsymptoticRatesofMartingaleCLT,NormalApproximationforStochasticGradientDescentviaNonAsymptoticRatesofMartingaleCLT
PRE_AdaptivelyTrackingtheBestBanditArmwithanUnknownNumberofDistributionChanges,AdaptivelyTrackingtheBestBanditArmwithanUnknownNumberofDistributionChanges
PRE_AUniversalAlgorithmforVariationalInequalitiesAdaptivetoSmoothnessandNoise,AUniversalAlgorithmforVariationalInequalitiesAdaptivetoSmoothnessandNoise
PRE_LearningTwoLayerRectifiedNeuralNetworksinPolynomialTime,LearningTwoLayerRectifiedNeuralNetworksinPolynomialTime
PRE_PrivateCenterPointsandLearningofHalfspaces,PrivateCenterPointsandLearningofHalfspaces
PRE_LowerboundsfortestinggraphicalmodelscoloringsandantiferromagneticIsingmodels,LowerboundsfortestinggraphicalmodelscoloringsandantiferromagneticIsingmodels
PRE_ApproximateGuaranteesforDictionaryLearning,ApproximateGuaranteesforDictionaryLearning
PRE_TheOptimalApproximationFactorinDensityEstimation,TheOptimalApproximationFactorinDensityEstimation
PRE_SortedTopkinRounds,SortedTopkinRounds
PRE_MultiarmedBanditProblemswithStrategicArms,MultiarmedBanditProblemswithStrategicArms
PRE_UniversalityofComputationalLowerBoundsforSubmatrixDetection,UniversalityofComputationalLowerBoundsforSubmatrixDetection
PRE_OptimalAverageCaseReductionstoSparsePCAFromWeakAssumptionstoStrongHardness,OptimalAverageCaseReductionstoSparsePCAFromWeakAssumptionstoStrongHardness
PRE_LearningratesforGaussianmixturesundergroupaction,LearningratesforGaussianmixturesundergroupaction
PRE_Nearoptimalmethodforhighlysmoothconvexoptimization,Nearoptimalmethodforhighlysmoothconvexoptimization
PRE_ImprovedPathlengthRegretBoundsforBandits,ImprovedPathlengthRegretBoundsforBandits
PRE_OptimalLearningofMallowsBlockModel,OptimalLearningofMallowsBlockModel
PRE_GaussianProcessOptimizationwithAdaptiveSketchingScalableandNoRegret,GaussianProcessOptimizationwithAdaptiveSketchingScalableandNoRegret
PRE_DisagreementBasedCombinatorialPureExplorationSampleComplexityBoundsandanEfficientAlgorithm,DisagreementBasedCombinatorialPureExplorationSampleComplexityBoundsandanEfficientAlgorithm
PRE_ARank1SketchforMatrixMultiplicativeWeights,ARank1SketchforMatrixMultiplicativeWeights
PRE_OntheComputationalPowerofOnlineGradientDescent,OntheComputationalPowerofOnlineGradientDescent
PRE_ActiveRegressionviaLinearSampleSparsification,ActiveRegressionviaLinearSampleSparsification
PRE_ANewAlgorithmforNonstationaryContextualBanditsEfficientOptimalandParameterfree,ANewAlgorithmforNonstationaryContextualBanditsEfficientOptimalandParameterfree
PRE_VorticesInsteadofEquilibriainMinMaxOptimizationChaosandButterflyEffectsofOnlineLearninginZeroSumGames,VorticesInsteadofEquilibriainMinMaxOptimizationChaosandButterflyEffectsofOnlineLearninginZeroSumGames
PRE_Pureentropicregularizationformetricaltasksystems,Pureentropicregularizationformetricaltasksystems
PRE_AnearoptimalalgorithmforapproximatingtheJohnEllipsoid,AnearoptimalalgorithmforapproximatingtheJohnEllipsoid
PRE_Spacelowerboundsforlinearpredictioninthestreamingmodel,Spacelowerboundsforlinearpredictioninthestreamingmodel
PRE_ComputationallyandStatisticallyEfficientTruncatedRegression,ComputationallyandStatisticallyEfficientTruncatedRegression
PRE_ReconstructingTreesfromTraces,ReconstructingTreesfromTraces
PRE_Isyourfunctionlowdimensional?,Isyourfunctionlowdimensional?
PRE_Fastdeterminantalpointprocessesviadistortionfreeintermediatesampling,Fastdeterminantalpointprocessesviadistortionfreeintermediatesampling
PRE_MinimaxexperimentaldesignBridgingthegapbetweenstatisticalandworstcaseapproachestoleastsquaresregression,MinimaxexperimentaldesignBridgingthegapbetweenstatisticalandworstcaseapproachestoleastsquaresregression
PRE_CommunicationandMemoryEfficientTestingofDiscreteDistributions,CommunicationandMemoryEfficientTestingofDiscreteDistributions
PRE_TestingIdentityofMultidimensionalHistograms,TestingIdentityofMultidimensionalHistograms
PRE_LowerBoundsforParallelandRandomizedConvexOptimization,LowerBoundsforParallelandRandomizedConvexOptimization
PRE_OnthePerformanceofThompsonSamplingonLogisticBandits,OnthePerformanceofThompsonSamplingonLogisticBandits
PRE_AchievingtheBayesErrorRateinStochasticBlockModelbySDPRobustly,AchievingtheBayesErrorRateinStochasticBlockModelbySDPRobustly
PRE_SumofsquaresmeetssquarelossFastratesforagnostictensorcompletion,SumofsquaresmeetssquarelossFastratesforagnostictensorcompletion
PRE_TheComplexityofMakingtheGradientSmallinStochasticConvexOptimization,TheComplexityofMakingtheGradientSmallinStochasticConvexOptimization
PRE_StatisticalLearningwithaNuisanceComponent,StatisticalLearningwithaNuisanceComponent
PRE_OntheRegretMinimizationofNonconvexOnlineGradientAscentforOnlinePCA,OntheRegretMinimizationofNonconvexOnlineGradientAscentforOnlinePCA
PRE_OptimalTensorMethodsinSmoothConvexandUniformlyConvexOptimization,OptimalTensorMethodsinSmoothConvexandUniformlyConvexOptimization
PRE_StabilizedSVRGSimpleVarianceReductionforNonconvexOptimization,StabilizedSVRGSimpleVarianceReductionforNonconvexOptimization
PRE_LearningIsingModelswithIndependentFailures,LearningIsingModelswithIndependentFailures
PRE_LearningNeuralNetworkswithTwoNonlinearLayersinPolynomialTime,LearningNeuralNetworkswithTwoNonlinearLayersinPolynomialTime
PRE_Whencanunlabeleddataimprovethelearningrate?,Whencanunlabeleddataimprovethelearningrate?
PRE_SamplingandOptimizationonConvexSetsinRiemannianManifoldsofNonNegativeCurvature,SamplingandOptimizationonConvexSetsinRiemannianManifoldsofNonNegativeCurvature
PRE_ReasoninginBayesianOpinionExchangeNetworksIsPSPACEHard,ReasoninginBayesianOpinionExchangeNetworksIsPSPACEHard
PRE_HowHardisRobustMeanEstimation?,HowHardisRobustMeanEstimation?
PRE_ARobustSpectralAlgorithmforOvercompleteTensorDecomposition,ARobustSpectralAlgorithmforOvercompleteTensorDecomposition
PRE_SampleOptimalLowRankApproximationofDistanceMatrices,SampleOptimalLowRankApproximationofDistanceMatrices
PRE_MakingtheLastIterateofSGDInformationTheoreticallyOptimal,MakingtheLastIterateofSGDInformationTheoreticallyOptimal
PRE_Theimplicitbiasofgradientdescentonnonseparabledata,Theimplicitbiasofgradientdescentonnonseparabledata
PRE_AnOptimalHighOrderTensorMethodforConvexOptimization,AnOptimalHighOrderTensorMethodforConvexOptimization
PRE_ParameterFreeOnlineConvexOptimizationwithSubExponentialNoise,ParameterFreeOnlineConvexOptimizationwithSubExponentialNoise
PRE_Samplecomplexityofpartitionidentificationusingmultiarmedbandits,Samplecomplexityofpartitionidentificationusingmultiarmedbandits
PRE_PrivatelyLearningHighDimensionalDistributions,PrivatelyLearningHighDimensionalDistributions
PRE_NonasymptoticAnalysisofBiasedStochasticApproximationScheme,NonasymptoticAnalysisofBiasedStochasticApproximationScheme
PRE_BanditPrincipalComponentAnalysis,BanditPrincipalComponentAnalysis
PRE_ContextualbanditswithcontinuousactionsSmoothingzoomingandadapting,ContextualbanditswithcontinuousactionsSmoothingzoomingandadapting
PRE_AnInformationTheoreticApproachtoMinimaxRegretinPartialMonitoring,AnInformationTheoreticApproachtoMinimaxRegretinPartialMonitoring
PRE_OnMeanEstimationforGeneralNormswithStatisticalQueries,OnMeanEstimationforGeneralNormswithStatisticalQueries
PRE_SharpTheoreticalAnalysisforNonparametricTestingunderRandomProjection,SharpTheoreticalAnalysisforNonparametricTestingunderRandomProjection
PRE_CombinatorialAlgorithmsforOptimalDesign,CombinatorialAlgorithmsforOptimalDesign
PRE_BeyondLeastSquaresFastRatesforRegularizedEmpiricalRiskMinimizationthroughSelfConcordance,BeyondLeastSquaresFastRatesforRegularizedEmpiricalRiskMinimizationthroughSelfConcordance
PRE_Meanfieldtheoryoftwolayersneuralnetworksdimensionfreeboundsandkernellimit,Meanfieldtheoryoftwolayersneuralnetworksdimensionfreeboundsandkernellimit
PRE_BatchSizeIndependentRegretBoundsfortheCombinatorialMultiArmedBanditProblem,BatchSizeIndependentRegretBoundsfortheCombinatorialMultiArmedBanditProblem
PRE_VCClassesareAdversariallyRobustlyLearnablebutOnlyImproperly,VCClassesareAdversariallyRobustlyLearnablebutOnlyImproperly
PRE_AffineInvariantCovarianceEstimationforHeavyTailedDistributions,AffineInvariantCovarianceEstimationforHeavyTailedDistributions
PRE_StochasticGradientDescentLearnsStateEquationswithNonlinearActivations,StochasticGradientDescentLearnsStateEquationswithNonlinearActivations
PRE_ATheoryofSelectivePrediction,ATheoryofSelectivePrediction
PRE_ConsistencyofInterpolationwithLaplaceKernelsisaHighDimensionalPhenomenon,ConsistencyofInterpolationwithLaplaceKernelsisaHighDimensionalPhenomenon
PRE_Classificationwithunknownclassconditionallabelnoiseonnoncompactfeaturespaces,Classificationwithunknownclassconditionallabelnoiseonnoncompactfeaturespaces
PRE_TheAllorNothingPhenomenoninSparseLinearRegression,TheAllorNothingPhenomenoninSparseLinearRegression
PRE_ExponentialConvergenceTimeofGradientDescentforOneDimensionalDeepLinearNeuralNetworks,ExponentialConvergenceTimeofGradientDescentforOneDimensionalDeepLinearNeuralNetworks
PRE_LearningLinearDynamicalSystemswithSemiParametricLeastSquares,LearningLinearDynamicalSystemswithSemiParametricLeastSquares
PRE_MaximumEntropyDistributionsBitComplexityandStability,MaximumEntropyDistributionsBitComplexityandStability
PRE_AdaptiveHardThresholdingforNearoptimalConsistentRobustRegression,AdaptiveHardThresholdingforNearoptimalConsistentRobustRegression
PRE_ModelbasedRLinContextualDecisionProcessesPACboundsandExponentialImprovementsoverModelfreeApproaches,ModelbasedRLinContextualDecisionProcessesPACboundsandExponentialImprovementsoverModelfreeApproaches
PRE_TheRelativeComplexityofMaximumLikelihoodEstimationMAPEstimationandSampling,TheRelativeComplexityofMaximumLikelihoodEstimationMAPEstimationandSampling
PRE_TheGapBetweenModelBasedandModelFreeMethodsontheLinearQuadraticRegulatorAnAsymptoticViewpoint,TheGapBetweenModelBasedandModelFreeMethodsontheLinearQuadraticRegulatorAnAsymptoticViewpoint
PRE_EstimationofsmoothdensitiesinWassersteindistance,EstimationofsmoothdensitiesinWassersteindistance
PRE_EstimatingtheMixingTimeofErgodicMarkovChains,EstimatingtheMixingTimeofErgodicMarkovChains
PRE_StochasticApproximationofSmoothandStronglyConvexFunctionsBeyondtheO(1T)ConvergenceRate,StochasticApproximationofSmoothandStronglyConvexFunctionsBeyondtheO(1T)ConvergenceRate
PRE_OpenProblemDoGoodAlgorithmsNecessarilyQueryBadPoints?,OpenProblemDoGoodAlgorithmsNecessarilyQueryBadPoints?
PRE_OpenProblemRiskofRuininMultiarmedBandits,OpenProblemRiskofRuininMultiarmedBandits
PRE_OpenProblemMonotonicityofLearning,OpenProblemMonotonicityofLearning
